Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Age Group,Addiction Level,Mental Health Category,Sleep Category
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8,18-20,High,Fair,Normal
2,22,Male,Graduate,India,2.1,Twitter,No,7.5,8,Single,0,3,21-22,Low,Good,Normal
3,20,Female,Undergraduate,USA,6,TikTok,Yes,5,5,Complicated,4,9,18-20,High,Fair,Insufficient
4,18,Male,High School,UK,3,YouTube,No,7,7,Single,1,4,18-20,Medium,Good,Normal
5,21,Male,Graduate,Canada,4.5,Facebook,Yes,6,6,In Relationship,2,7,21-22,High,Fair,Normal
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9,18-20,High,Poor,Insufficient
7,23,Male,Graduate,Germany,1.5,LinkedIn,No,8,9,Single,0,2,23-24,Low,Good,Normal
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6,6,In Relationship,2,8,18-20,High,Fair,Normal
9,18,Male,High School,Japan,4,TikTok,No,6.5,7,Single,1,5,18-20,Medium,Good,Normal
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7,7,In Relationship,1,4,21-22,Medium,Good,Normal
11,19,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5,Complicated,3,7,18-20,High,Fair,Normal
12,20,Female,Undergraduate,Spain,5.5,TikTok,Yes,5.8,6,In Relationship,2,8,18-20,High,Fair,Insufficient
13,22,Male,Graduate,Italy,2.8,LinkedIn,No,7.2,8,Single,1,4,21-22,Medium,Good,Normal
14,18,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5,Single,4,9,18-20,High,Fair,Insufficient
15,21,Male,Undergraduate,Russia,3.7,YouTube,No,6.8,7,In Relationship,2,5,21-22,Medium,Good,Normal
16,20,Female,Undergraduate,China,4.2,TikTok,Yes,6,6,Complicated,3,7,18-20,High,Fair,Normal
17,24,Male,Graduate,Sweden,2,LinkedIn,No,7.8,8,Single,0,3,23-24,Low,Good,Normal
18,19,Female,High School,Norway,5,Instagram,Yes,5.7,5,In Relationship,3,8,18-20,High,Fair,Insufficient
19,21,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5,21-22,Medium,Good,Normal
20,20,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Complicated,3,7,18-20,High,Fair,Insufficient
21,18,Male,High School,Belgium,5.3,TikTok,Yes,5.5,5,Single,4,8,18-20,High,Fair,Insufficient
22,23,Female,Graduate,Switzerland,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,23-24,Medium,Good,Normal
23,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7,18-20,High,Fair,Insufficient
24,20,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,Single,4,8,18-20,High,Fair,Insufficient
25,22,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5,21-22,Medium,Good,Normal
26,19,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Complicated,4,9,18-20,High,Fair,Insufficient
27,21,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7,Single,1,5,21-22,Medium,Good,Normal
28,20,Female,Undergraduate,Singapore,4.4,TikTok,Yes,5.9,6,In Relationship,3,7,18-20,High,Fair,Insufficient
29,24,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Single,0,3,23-24,Low,Good,Normal
30,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8,18-20,High,Fair,Insufficient
31,21,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7,Single,1,5,21-22,Medium,Good,Normal
32,20,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7,18-20,High,Fair,Insufficient
33,18,Male,High School,Indonesia,5.4,TikTok,Yes,5.4,5,Complicated,4,8,18-20,High,Fair,Insufficient
34,23,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1,4,23-24,Medium,Good,Normal
35,19,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,In Relationship,3,7,18-20,High,Fair,Insufficient
36,20,Female,Undergraduate,Turkey,5.6,TikTok,Yes,5.5,5,Complicated,4,8,18-20,High,Fair,Insufficient
37,22,Male,Graduate,Israel,3.1,Facebook,No,6.8,7,Single,1,5,21-22,Medium,Good,Normal
38,19,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,In Relationship,4,9,18-20,High,Fair,Insufficient
39,21,Male,Undergraduate,Egypt,3.9,YouTube,No,6.5,7,Complicated,2,6,21-22,Medium,Good,Normal
40,20,Female,Undergraduate,Morocco,4.5,TikTok,Yes,5.8,6,Single,3,7,18-20,High,Fair,Insufficient
41,24,Male,Graduate,South Africa,2.3,LinkedIn,No,7.3,8,In Relationship,1,4,23-24,Medium,Good,Normal
42,19,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Complicated,4,8,18-20,High,Fair,Insufficient
43,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5,21-22,Medium,Good,Normal
44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7,18-20,High,Fair,Insufficient
45,18,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5,Single,4,8,18-20,High,Fair,Insufficient
46,23,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Complicated,1,4,23-24,Medium,Good,Normal
47,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,In Relationship,3,7,18-20,High,Fair,Insufficient
48,20,Female,Undergraduate,Peru,5.5,TikTok,Yes,5.6,5,Single,4,8,18-20,High,Fair,Insufficient
49,22,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,In Relationship,2,5,21-22,Medium,Good,Normal
50,19,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,Complicated,4,9,18-20,High,Fair,Insufficient
51,21,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7,Single,2,6,21-22,Medium,Good,Normal
52,20,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,In Relationship,3,7,18-20,High,Fair,Insufficient
53,24,Male,Graduate,Bolivia,2.4,LinkedIn,No,7.2,8,Complicated,1,4,23-24,Medium,Good,Normal
54,19,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,Single,4,8,18-20,High,Fair,Insufficient
55,21,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7,In Relationship,2,5,21-22,Medium,Good,Normal
56,20,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,Complicated,3,7,18-20,High,Fair,Insufficient
57,18,Male,High School,Trinidad,5.6,TikTok,Yes,5.2,5,Single,4,8,18-20,High,Fair,Insufficient
58,23,Female,Graduate,Bahamas,2.8,LinkedIn,No,7,8,In Relationship,1,4,23-24,Medium,Good,Normal
59,19,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,Complicated,3,7,18-20,High,Fair,Insufficient
60,20,Female,Undergraduate,Finland,5.4,TikTok,Yes,5.7,5,Single,4,8,18-20,High,Fair,Insufficient
61,22,Male,Graduate,Poland,3.1,Facebook,No,7.1,7,Single,1,5,21-22,Medium,Good,Normal
62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3,8,18-20,High,Fair,Insufficient
63,20,Male,Undergraduate,Hungary,4.2,TikTok,Yes,6,6,Complicated,3,7,18-20,High,Fair,Normal
64,18,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,Single,4,9,18-20,High,Poor,Insufficient
65,23,Male,Graduate,Slovakia,2.3,LinkedIn,No,7.4,8,In Relationship,1,3,23-24,Low,Good,Normal
66,21,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6,Single,3,7,21-22,High,Fair,Insufficient
67,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Complicated,2,6,18-20,Medium,Good,Normal
68,19,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5,In Relationship,4,8,18-20,High,Fair,Insufficient
69,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1,4,21-22,Medium,Good,Normal
70,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Complicated,3,7,18-20,High,Fair,Insufficient
71,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Single,4,8,18-20,High,Fair,Insufficient
72,21,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,In Relationship,2,5,21-22,Medium,Good,Normal
73,19,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6,Complicated,3,7,18-20,High,Fair,Insufficient
74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8,18-20,High,Fair,Insufficient
75,23,Male,Graduate,Belarus,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,23-24,Medium,Good,Normal
76,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7,21-22,High,Fair,Insufficient
77,19,Male,High School,Uzbekistan,5.5,TikTok,Yes,5.4,5,Complicated,4,8,18-20,High,Fair,Insufficient
78,22,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7,7,In Relationship,2,5,21-22,Medium,Good,Normal
79,20,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,Single,3,7,18-20,High,Fair,Insufficient
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9,18-20,High,Fair,Insufficient
81,21,Male,Graduate,Georgia,3,LinkedIn,No,7.1,8,In Relationship,1,4,21-22,Medium,Good,Normal
82,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Single,3,7,18-20,High,Fair,Insufficient
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6,18-20,Medium,Good,Normal
84,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4,21-22,Medium,Good,Normal
85,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,8,18-20,High,Fair,Insufficient
86,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,7,21-22,High,Fair,Insufficient
87,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,In Relationship,4,8,18-20,High,Fair,Insufficient
88,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1,4,23-24,Medium,Good,Normal
89,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6,6,Complicated,3,7,18-20,High,Fair,Normal
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9,18-20,High,Fair,Insufficient
91,22,Male,Graduate,Montenegro,2.9,Facebook,No,7,7,In Relationship,2,5,21-22,Medium,Good,Normal
92,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Complicated,3,7,18-20,High,Fair,Insufficient
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6,21-22,Medium,Good,Normal
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8,18-20,High,Fair,Insufficient
95,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4,23-24,Medium,Good,Normal
96,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3,7,18-20,High,Fair,Insufficient
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8,18-20,High,Fair,Insufficient
98,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,4,21-22,Medium,Good,Normal
99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7,18-20,High,Fair,Insufficient
100,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4,8,21-22,High,Fair,Insufficient
101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9,18-20,High,Fair,Insufficient
102,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,4,23-24,Medium,Good,Normal
103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7,18-20,High,Fair,Insufficient
104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8,18-20,High,Fair,Insufficient
105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7,7,Complicated,2,5,21-22,Medium,Good,Normal
106,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,In Relationship,3,7,18-20,High,Fair,Insufficient
107,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2,6,21-22,Medium,Good,Normal
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8,18-20,High,Fair,Insufficient
109,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,4,23-24,Medium,Good,Normal
110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7,18-20,High,Fair,Insufficient
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8,18-20,High,Fair,Normal
112,21,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,In Relationship,3,7,21-22,High,Fair,Insufficient
113,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,5,18-20,Medium,Good,Normal
114,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6,5,Single,4,8,21-22,High,Fair,Normal
115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7,18-20,High,Fair,Normal
116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5,18-20,Medium,Good,Normal
117,21,Male,Graduate,Bangladesh,6,Facebook,Yes,5.8,5,In Relationship,4,8,21-22,High,Fair,Insufficient
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,7,18-20,High,Fair,Normal
119,22,Male,Graduate,Nepal,4.7,TikTok,No,7.3,7,Single,2,5,21-22,Medium,Good,Normal
120,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4,8,18-20,High,Fair,Normal
121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,7,18-20,High,Fair,Insufficient
122,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,5,21-22,Medium,Good,Normal
123,19,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,Single,4,8,18-20,High,Fair,Normal
124,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3,7,21-22,High,Fair,Insufficient
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,5,18-20,Medium,Good,Normal
126,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,8,21-22,High,Fair,Normal
127,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3,7,18-20,High,Fair,Insufficient
128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,5,18-20,Medium,Good,Normal
129,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4,8,21-22,High,Fair,Normal
130,21,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,In Relationship,3,7,21-22,High,Fair,Insufficient
131,19,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7,Single,2,5,18-20,Medium,Good,Normal
132,20,Female,Undergraduate,Pakistan,5,Instagram,Yes,6.6,5,In Relationship,4,8,18-20,High,Fair,Normal
133,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3,7,21-22,High,Fair,Insufficient
134,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2,5,21-22,Medium,Good,Normal
135,19,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5,Single,4,8,18-20,High,Fair,Normal
136,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,In Relationship,3,7,18-20,High,Fair,Insufficient
137,22,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Single,2,5,21-22,Medium,Good,Normal
138,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,8,21-22,High,Fair,Normal
139,19,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,Single,3,7,18-20,High,Fair,Insufficient
140,20,Female,Undergraduate,Maldives,4,Instagram,No,8,8,In Relationship,2,5,18-20,Medium,Good,Normal
141,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,8,21-22,High,Fair,Normal
142,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3,7,21-22,High,Fair,Insufficient
143,19,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,Single,2,5,18-20,Medium,Good,High
144,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7,5,In Relationship,4,8,18-20,High,Fair,Normal
145,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,7,21-22,High,Fair,Insufficient
146,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2,5,21-22,Medium,Good,High
147,19,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5,Single,4,8,18-20,High,Fair,Normal
148,20,Female,Undergraduate,India,5,Instagram,Yes,5,6,In Relationship,3,7,18-20,High,Fair,Insufficient
149,22,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Single,2,5,21-22,Medium,Good,High
150,21,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,In Relationship,4,8,21-22,High,Fair,Normal
151,19,Male,Undergraduate,Sri Lanka,4.9,TikTok,Yes,4.9,6,Single,3,7,18-20,High,Fair,Insufficient
152,20,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,In Relationship,2,5,18-20,Medium,Good,High
153,22,Male,Graduate,Bangladesh,4.3,Facebook,Yes,7.3,5,Single,4,8,21-22,High,Fair,Normal
154,21,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,In Relationship,3,7,21-22,High,Fair,Insufficient
155,19,Male,Undergraduate,Nepal,3.5,TikTok,No,8.5,7,Single,2,5,18-20,Medium,Good,High
156,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,In Relationship,4,8,18-20,High,Fair,Normal
157,22,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6,Single,3,7,21-22,High,Fair,Insufficient
158,21,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,In Relationship,2,5,21-22,Medium,Good,High
159,19,Male,Undergraduate,Bangladesh,4.1,TikTok,Yes,7.5,5,Single,4,8,18-20,High,Fair,Normal
160,20,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6,In Relationship,3,7,18-20,High,Fair,Insufficient
161,19,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5,Single,3,7,18-20,High,Fair,Normal
162,21,Male,Graduate,India,4.8,Facebook,No,7.2,7,In Relationship,2,6,21-22,Medium,Good,Normal
163,20,Female,Undergraduate,Nepal,5.5,TikTok,Yes,5.9,6,Single,4,8,18-20,High,Fair,Insufficient
164,22,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,In Relationship,3,7,21-22,High,Fair,Normal
165,19,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7,7,Single,2,5,18-20,Medium,Good,Normal
166,21,Male,Graduate,Maldives,5.4,TikTok,Yes,6,6,In Relationship,4,8,21-22,High,Fair,Normal
167,20,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5,Single,3,7,18-20,High,Fair,Normal
168,22,Male,Graduate,India,5.2,Facebook,No,7.1,7,In Relationship,2,6,21-22,Medium,Good,Normal
169,19,Female,Undergraduate,Nepal,5.6,TikTok,Yes,5.8,6,Single,4,8,18-20,High,Fair,Insufficient
